Sentence #,mymensingh_word,bio_tag
,চাই,O
Sentence: 840,আমি,O
,বেশ,O
,কিসুক্ষন,O
,তাঁর,O
,মুহের,O
,দিকে,O
,তাকায়া,O
,থাকলাম,O
Sentence: 825,এক,O
,চামচ,B-OBJ
,খায়াই,O
,এতো,O
,কথা,O
,কয়া,O
,দিলা,O
Sentence: 3006,হে,O
,বিদেশ,B-LOC
,চইলা,O
,যাইবো,O
Sentence: 204,এভাবে,O
,চইলা,O
,যাইব,O
,সময়,O
,কিন্তু,O
,থাইক্কা,O
,যাইব,O
,এসব,O
,কিসু,O
,গান,O
Sentence: 2584,কেরে,O
,বইয়া,O
,বইয়া,O
Sentence: 365,বউ,B-REL
,হারাইলে,O
,বউ,B-REL
,পাওয়ন,O
,যায়,O
,কিন্তু,O
,বন্ধুরে,B-REL
,টেহা,B-OBJ
,দিলে,O
,হেইডা,O
,আর,O
,ফেরত,O
,পাওয়ন,O
,যায়,O
,না,O
Sentence: 2546,ভিডিওডা,O
,বানানির,O
,কি,O
,দরকারডা,O
,আসিন,O
Sentence: 3201,গুলাপ,B-OBJ
,কিন্না,O
,দিসিন,O
Sentence: 74,হেয়,O
,এইডা,O
,দেইক্ষা,O
,জ্ঞান,O
,হারায়া,O
,ফালাইসে,O
Sentence: 3067,বড়,B-REL
,বইনরে,I-REL
,আমি,O
,অনেক,O
,ভালোবাসি,O
Sentence: 1585,চল,O
,ঐতিহাসিক,B-LOC
,জায়গাইয়,I-LOC
,ঘুরতে,O
,যায়াম,O
Sentence: 3141,আমি,O
,তুমার,O
,মনের,O
,কতা,O
,বুজি,O
,না,O
Sentence: 3099,আমার,O
,লেইগা,O
,লাল,B-COL
,জামা,B-OBJ
,কিন্না,O
,আনসে,O
Sentence: 2019,আফনে,O
,কি,O
,পড়ালেহা,O
,করতে,O
,পারেন,O
Sentence: 3471,আব্বারে,O
,কইলাম,O
,আমারে,O
,বিয়া,O
,করাইতা,O
,না,O
Sentence: 2901,আমি,O
,ফিরা,O
,আইলাম,O
Sentence: 337,আফনের,O
,সুন্দর,O
,সুন্দর,O
,ছবিগুলা,B-OBJ
,দেইক্ষা,O
,আনন্দ,O
,পাইসি,O
Sentence: 2739,ভালা,O
,লাগতাসে,O
,না,O
Sentence: 3105,আব্বু,B-REL
,কিন্না,O
,আনসে,O
Sentence: 2804,কিতা,O
,করো,O
Sentence: 3404,বেহেই,O
,কিরুম,O
,আসুইন,O
Sentence: 2521,শিমুর,B-PER
,মেরুন,B-COL
,রং,I-COL
,পসন্দ,O
Sentence: 2667,শার্ট,B-OBJ
,পইড়া,O
,আইসিন,O
Sentence: 959,একটু,O
,ঘুমায়া,O
,নেও,O
Sentence: 802,ভাবসি,O
,আপন,O
,লোক,O
,কিতা,O
,এমনই,O
,হয়,O
Sentence: 1914,এইবার,O
,ছুটিতে,O
,সিলেট,B-LOC
,ঘুরতে,O
,যামু,O
Sentence: 777,কেন,O
,ভালোবাস,O
,না,O
,আমায়,O
Sentence: 1992,পরে,O
,খুঁইজ্জা,O
,নাও,O
,ফাইতে,O
,ফারি,O
Sentence: 1967,আফনে,O
,কি,O
,আমারে,O
,ভালবাসেন,O
Sentence: 1901,তোমার,O
,বেক,O
,কথা,O
,ঠিক,O
,আছে,O
Sentence: 1488,রোগীরে,O
,হাসপাতালে,B-ORG
,থাকতে,O
,হইব,O
Sentence: 2932,আমি,O
,হারাম,O
Sentence: 1264,তারে,O
,নিয়া,O
,আমার,O
,অভিযোগ,O
,এর,O
,কোন,O
,জায়গা,O
,নাই,O
Sentence: 3458,আইন্নে,O
,ভায়ের,O
,ভক্ত,O
Sentence: 1384,এমন,O
,মনোভাব,O
,নিয়া,O
,সংসারে,O
,কহনো,O
,সুখ,O
,আয়,O
,না,O
Sentence: 22,সে,O
,এহন,O
,তার,O
,বন্ধুরার,B-REL
,সাথে,O
,সিগারেট,B-OBJ
,খায়,O
Sentence: 2617,কাজ,O
,করতাম,O
,কেমনে,O
Sentence: 271,আফনে,O
,নিজের,O
,পরিবার,O
,নিয়া,O
,বসেন,O
Sentence: 3005,পরের,O
,মাসে,O
,বিদেশে,B-LOC
,যাইবো,O
,গা,O
Sentence: 2587,কিতা,O
,কইরা,O
,সম্ভব,O
Sentence: 2491,বিহালে,O
,আম্মা,B-REL
,আমার,O
,লাইজ্ঞা,O
,শসার,B-FOOD
,সুপ,I-FOOD
,রানসে,O
Sentence: 1746,আমার,O
,মাথায়,O
,মেলা,O
,ব্যাথা,O
,করতাসে,O
Sentence: 638,হঠাৎ,O
,কইরা,O
,বিদ্যুৎ,O
,চইল্লা,O
,গেল,O
Sentence: 1350,এইডাই,O
,আমার,O
,লগে,O
,হের,O
,শেষ,O
,কথা,O
Sentence: 1412,আমরা,O
,তিন,O
,ভাই,B-REL
,বইন,B-REL
,আমি,O
,বেহের,O
,বড়,O
Sentence: 3158,প্রথমে,O
,আইন্নেরে,O
,একটা,O
,দুহানো,O
,যাওন,O
,লাগবো,O
Sentence: 2086,কিল্লেগা,O
,তুমি,O
,সাগর,B-LOC
,পসন্দ,O
,করো,O
Sentence: 3037,আমরা,O
,হাইরা,O
,গেসিলাম,O
Sentence: 2629,দুরফে,O
,কি,O
,খাইসো,O
Sentence: 3318,আমার,O
,প্রিয়,O
,ফল,B-FOOD
Sentence: 1242,আমি,O
,ওরে,O
,কয়া,O
,দিসি,O
,আমি,O
,আর,O
,তোমার,O
,লগে,O
,সংসার,O
,করতাম,O
,না,O
Sentence: 2105,মাইয়াডা,O
,মেলা,O
,বুদ্ধিমতী,O
Sentence: 3203,জীবনেও,O
,ভুলবার,O
,পাইতাম,O
,না,O
Sentence: 1368,যদি,O
,আমি,O
,জাইন্না,O
,গেসি,O
,হুনে,O
,আমার,O
,ক্ষতি,O
,করার,O
,চেষ্টা,O
,করে,O
Sentence: 2845,আমি,O
,সহালবেলা,O
,খাইয়া,B-FOOD
,ইশকুলো,B-ORG
,যাই,O
Sentence: 3112,তারে,O
,কাজল,B-OBJ
,দিয়া,O
,মেলা,O
,ভালা,O
,লাগে,O
Sentence: 2797,আমি,O
,পড়ি,O
Sentence: 527,আমি,O
,একজন,O
,সরকারি,B-ROLE
,কর্মকর্তা,I-ROLE
Sentence: 96,মাঝে,O
,মাঝে,O
,লাগে,O
,ঘরবাড়ী,O
,বেক,O
,মশার,B-ANI
,নামে,O
,লেইখখা,O
,দিয়া,O
,আমি,O
,জংগলে,B-LOC
,চইল্লা,O
,যাইগা,O
Sentence: 734,পানির,B-FOOD
,অপর,O
,নাম,O
,জীবন,O
Sentence: 1166,মাইয়াডা,O
,হের,O
,লগে,O
,ঘইটটা,O
,যাওয়া,O
,ঘটনা,O
,সম্পূর্ণ,O
,পোলাডার,O
,পরিবাররে,O
,জানায়,O
Sentence: 2607,দুরফে,O
,কিতা,O
,খাইসো,O
Sentence: 232,তুমি,O
,নাই,O
,এই,O
,কঠিন,O
,সত্যিডা,O
,আমি,O
,আইজও,O
,বিশ্বাস,O
,করতে,O
,পারতাসি,O
,না,O
Sentence: 1048,আমি,O
,আমার,O
,জামাইরে,B-REL
,অনেক,O
,ভালবাসি,O
Sentence: 2476,আবুডার,O
,কিসু,O
,দিন,O
,ধইরা,O
,সর্দি,O
,কাশি,O
Sentence: 917,তুমি,O
,দুপুরে,O
,কিতা,O
,দিয়া,O
,ভাত,B-FOOD
,খাইস,O
Sentence: 1365,আমি,O
,আমার,O
,বইনের,B-REL
,চেয়ে,O
,মেলা,O
,বছরের,O
,ছোট,O
Sentence: 2214,আমি,O
,আমার,O
,জামাইয়ের,B-REL
,সাথে,O
,বিকালে,O
,পার্কে,B-LOC
,ঘুরতে,O
,যায়াম,O
Sentence: 2327,তোমার,O
,বয়স,O
,কত,O
Sentence: 2706,ঘুমেরতে,O
,তাত্তাড়ি,O
,উইঠ্যা,O
,যাও,O
Sentence: 2320,তোমার,O
,লগে,O
,আমার,O
,আম্মা,B-REL
,কথা,O
,কইতে,O
,চায়,O
Sentence: 1371,আমার,O
,মনে,O
,হইতাসে,O
,আমি,O
,জাইন্না,O
,গেসি,O
,হুনলে,O
,ওরা,O
,আমারে,O
,খুন,O
,করতেও,O
,দুইবার,O
,ভাববো,O
,না,O
Sentence: 197,জীবনে,O
,অনেক,O
,গান,O
,হুনি,O
,তারফরেও,O
,কিল্লেগা,O
,জানি,O
,না,O
,এই,O
,গান,O
,গুলার,O
,মত,O
,এত,O
,ভালা,O
,লাগে,O
,না,O
Sentence: 1358,আমি,O
,বিশ্বাস,O
,করতে,O
,পারতাসিলাম,O
,না,O
,আমার,O
,বইন,B-REL
,এই,O
,কাম,O
,করব,O
Sentence: 3071,বইনের,B-REL
,কি,O
,বিয়া,O
,হইয়া,O
,গেসে,O
Sentence: 99,পাশে,O
,থাইক্কো,O
,সারাজীবন,O
,দূরে,O
,যাইয়ো,O
,না,O
Sentence: 3401,আইন্নে,O
,কতা,O
,বলতে,O
,পারেন,O
,না,O
Sentence: 184,কালা,B-COL
,আর,O
,লাল,B-COL
,শাড়িতে,B-OBJ
,মৌসুমী,B-PER
,আপু,O
,রে,O
,অসম্ভব,O
,সুন্দরী,O
,লাগে,O
Sentence: 2539,সিটি,B-ORG
,করপোরেশন,I-ORG
,অফিস,I-ORG
,আসে,O
Sentence: 875,এহন,O
,নানার,O
,বাড়িতই,O
,থাহি,O
Sentence: 546,তুমি,O
,কিতা,O
,আমারে,O
,ভালোবাস,O
,না,O
Sentence: 3170,থইমকা,O
,দাড়াই,O
,আসিলাম,O
Sentence: 1713,অনেকগুলা,O
,নতুন,O
,বই,B-OBJ
,দেইক্ষা,O
,আমি,O
,অবাক,O
,হয়া,O
,কইলাম,O
Sentence: 660,আমারে,O
,বেহেই,O
,এক,O
,নামে,O
,চিনে,O
Sentence: 18,তোমারে,O
,আমি,O
,কল,O
,দিতাম,O
,না,O
Sentence: 1975,ছেড়াডা,O
,ভালা,O
,চাকরি,O
,করে,O
Sentence: 2984,শেষ,O
,হইয়া,O
,গেসে,O
Sentence: 2490,এই,O
,বেক্কল,O
,ছেড়াডা,O
,দুইদিন,O
,ধইরা,O
,পড়ালেহা,O
,করতাসে,O
,না,O
Sentence: 565,একদল,O
,বেডি,O
,রাস্তায়,B-LOC
,হাঁটতাসে,O
Sentence: 1708,বাস,B-OBJ
,থাইক্কা,O
,যহন,O
,নামলেন,O
,তহন,O
,সকাল,O
,হয়া,O
,গেসে,O
Sentence: 500,আমি,O
,কহনই,O
,তোমারে,O
,ভুলতাম,O
,না,O
Sentence: 2577,আমি,O
,তারে,O
,কইলাম,O
,এইডা,O
,কইরো,O
,না,O
Sentence: 784,তুমি,O
,অল্প,O
,কথা,O
,কও,O
Sentence: 1436,তারে,O
,আমি,O
,কয়া,O
,নিসিলাম,O
,যে,O
,আমার,O
,তোমারে,O
,বিশ্বাস,O
,করতে,O
,সময়,O
,লাগব,O
Sentence: 3360,চিংড়ি,B-FOOD
,মাছডা,I-FOOD
,খাইবার,O
,পসন্দ,O
,করি,O
Sentence: 1448,তবে,O
,আমি,O
,তারে,O
,এহনো,O
,ভালবাসি,O
Sentence: 2722,আমার,O
,খাইতে,O
,ভালা,O
,লাগে,O
,না,O
Sentence: 1548,ওই,O
,ব্যাপারে,O
,নিশ্চিত,O
,না,O
Sentence: 2540,মেলা,O
,কষ্ট,O
,নিয়া,O
,আসি,O
Sentence: 70,অসম্ভব,O
,ভালা,O
,লিখসেন,O
Sentence: 237,দম,O
,বন্ধ,O
,হইয়া,O
,আয়,O
,চিৎকার,O
,কইরা,O
,কাঁনতে,O
,ইচ্ছা,O
,করে,O
Sentence: 1015,আমার,O
,শাশুড়িও,B-REL
,নাই,O
,মারা,O
,গেসে,O
,মেলা,O
,আগে,O
Sentence: 663,আমার,O
,প্রিয়,O
,সবজি,B-FOOD
,টোমেটো,B-FOOD
Sentence: 1220,একজন,O
,মা,B-REL
,মাইয়ার,B-REL
,সংসারে,O
,এমনেই,O
,কি,O
,অশান্তি,O
,করতে,O
,পারে,O
Sentence: 1392,এহন,O
,তুমি,O
,আমার,O
,কাসে,O
,মাফ,O
,চাও,O
Sentence: 77,আফনের,O
,হাসির,O
,কাসে,O
,বেক,O
,কিসু,O
,হার,O
,মানে,O
Sentence: 724,আমার,O
,বন্ধুর,B-REL
,বিয়া,O
,আইজকা,O
Sentence: 947,আমারে,O
,ঢুকতে,O
,দেন,O
Sentence: 993,হেয়,O
,তহন,O
,আবারো,O
,ফিইরা,O
,চায়,O
,আমারে,O
Sentence: 1997,আমার,O
,বইন,B-REL
,আমার,O
,সাথে,O
,বেগ,O
,সময়,O
,থাকতে,O
,চায়,O
Sentence: 2178,তোমার,O
,হাশির,O
,কাসে,O
,আমার,O
,বেগ,O
,কিসু,O
,হার,O
,মাইন্না,O
,যায়,O
Sentence: 2461,কালকে,O
,বিহালে,O
,আমরার,O
,এইহানে,O
,মেলা,O
,বৃষ্টি,O
,হইসে,O
Sentence: 1612,দুই,O
,টুকরা,O
,হইলো,O
,কী,O
,কইরা,O
Sentence: 711,আমার,O
,কালা,B-COL
,জামা,B-OBJ
,নাই,O
Sentence: 1679,নানার,B-REL
,কঠিন,O
,অসুখ,O
,হইসিল,O
Sentence: 2413,আব্বা,B-REL
,মান,O
,সন্মানের,O
,ভয়ে,O
,মামলা,O
,করে,O
,নাই,O
Sentence: 2547,বানানির,O
,কি,O
,দরকারডা,O
,আসিন,O
Sentence: 2331,আফনে,O
,একটু,O
,এইদিকে,O
,আইতে,O
,ফারবেন,O
Sentence: 503,পরীক্ষার,O
,লাইজ্ঞা,O
,সহালে,O
,পড়াশুনা,O
,করা,O
,ভালা,O
,হয়,O
Sentence: 3281,একটা,O
,কতাও,O
,কইতাম,O
,না,O
Sentence: 931,অল্পবয়সী,O
,একটা,O
,ছেড়া,O
,বাইরে,O
,ফুটপাতে,B-LOC
,দৌড়াইতাসে,O
Sentence: 2115,আমি,O
,চেষ্টা,O
,করসিলাম,O
Sentence: 2507,হে,O
,কেমনে,O
,জিমাইতাসে,O
,দেখ,O
Sentence: 1970,হারায়া,O
,যাইতে,O
,ইচ্ছা,O
,করে,O
,মেলা,O
,দূরে,O
Sentence: 1330,নিজের,O
,পসন্দ,O
,বিয়া,O
,করাটা,O
,উচিত,O
,হয়নাই,O
Sentence: 1597,আমার,O
,বাসার,O
,কাসে,O
,রাস্তার,B-LOC
,পাশে,O
,একটা,O
,ফুলের,B-OBJ
,দোহান,O
Sentence: 1150,ওইহানেই,O
,এক,O
,বাংলাদেশী,B-ROLE
,ছেড়ার,I-ROLE
,লগে,O
,পরিচয়,O
,তারপর,O
,সম্পর্ক,O
Sentence: 2815,রিশকা,B-OBJ
,কইরা,O
,আইবাম,O
Sentence: 2559,যাওনের,O
,কতা,O
,নাই,O
Sentence: 2755,আইন্নে,O
,কিরুম,O
,আসুইন,O
Sentence: 2876,এইনে,O
,অপেক্ষা,O
,করুইন,O
Sentence: 1662,মাইয়াডার,O
,বেগ,O
,কাম,O
,এমন,O
,এলোমেলো,O
,হইতাসে,O
,কেন,O
Sentence: 977,আমি,O
,বিদেশে,B-LOC
,গেসলাম,O
Sentence: 2623,আমার,O
,এহন,O
,তুমারে,O
,ভালা,O
,লাগে,O
Sentence: 2783,আমার,O
,কাম,O
,আসে,O
Sentence: 1108,বেগ,O
,কিসু,O
,হুইন্না,O
,বুঝলাম,O
,যে,O
,এহন,O
,আর,O
,এইহানে,O
,থাইক্কা,O
,কোন,O
,লাভ,O
,হইত,O
,না,O
Sentence: 730,হ,O
,তুমি,O
,মেলা,O
,মোডা,O
Sentence: 2191,আফনে,O
,এত,O
,গরীব,O
,আগে,O
,কেন,O
,কন,O
,নাই,O
Sentence: 2600,আমার,O
,জরুরি,O
,কতা,O
,আসে,O
Sentence: 3057,লগে,O
,আসি,O
Sentence: 3227,লইয়া,O
,বইন,O
Sentence: 1581,আমারে,O
,দেইক্ষা,O
,মেলা,O
,খুশি,O
,হইলো,O
Sentence: 321,কবে,O
,যে,O
,আমার,O
,স্বপ্নডা,O
,পূরণ,O
,হইব,O
Sentence: 651,এহন,O
,পড়তে,O
,বয়াম,O
Sentence: 1933,আমি,O
,ঘুমাইতে,O
,যায়াম,O
Sentence: 2748,বইয়া,O
,আসে,O
Sentence: 481,আকাশের,O
,নীল,B-COL
,রঙডা,I-COL
,অসাধারণ,O
Sentence: 2847,নাস্তা,B-FOOD
,কইরা,O
,ইশকুলো,B-ORG
,যাই,O
Sentence: 3152,আফনেরার,O
,লগে,O
,পরিচিত,O
,হইয়া,O
,ভালা,O
,লাগলো,O
Sentence: 2462,আমার,O
,আম্মা,B-REL
,আইজকে,O
,শশার,B-FOOD
,তরকারি,I-FOOD
,রানসে,O
Sentence: 2911,এট্টু,O
,ঘুমায়া,O
,নেও,O
Sentence: 886,আমার,O
,খালামুনির,B-REL
,বিয়ে,O
,হইছে,O
,২০১৫তে,O
Sentence: 888,বিয়ার,O
,আগে,O
,খালামুনিই,B-REL
,আমারে,O
,বড়,O
,করসে,O
Sentence: 1480,ভালবাসা,O
,মেলা,O
,কষ্টের,O
Sentence: 368,তোরে,O
,ভুইল্লা,O
,যাওয়ার,O
,লাইজ্ঞা,O
,আমি,O
,ভালোবাসি,O
,নাই,O
Sentence: 2101,সকালে,O
,চা,B-FOOD
,খাইবা,O
Sentence: 2177,আমি,O
,তোমার,O
,কোন,O
,কথা,O
,কিসুই,O
,বুঝতে,O
,পারলাম,O
,না,O
Sentence: 2063,আফনে,O
,কি,O
,বিদেশে,B-LOC
,যাইতে,O
,চান,O
Sentence: 2975,ওইনে,O
,লইয়া,O
,চলুইন,O
Sentence: 2453,আমার,O
,গ্রামের,B-LOC
,বাড়ীর,I-LOC
,উঠান,O
,মেলা,O
,বড়,O
Sentence: 566,দরজার,B-OBJ
,কাসে,O
,দুইজন,O
,বয়া,O
,গিটার,B-OBJ
,বাজাইতাসে,O
Sentence: 1897,তুমি,O
,দেখতে,O
,সুন্দর,O
,না,O
,হইলেও,O
,আমি,O
,তোমারেই,O
,চাই,O
Sentence: 3151,আমি,O
,একটা,O
,ছেড়ি,O
Sentence: 210,এই,O
,গান,O
,গুলা,O
,নিয়া,O
,মেলা,O
,আবেগ,O
,আসে,O
Sentence: 3305,ঘুরতে,O
,মেলা,O
,ভালা,O
,লাগে,O
Sentence: 1681,তাঁরে,O
,হাসপাতালে,B-ORG
,নেওয়ন,O
,হইসিল,O
Sentence: 1669,দাদির,B-REL
,কাসে,O
,একটা,O
,পুরাতন,O
,সিন্দুক,B-OBJ
,আসে,O
Sentence: 1411,কাউরে,O
,তোমার,O
,কথা,O
,হুনাইতে,O
,হতে,O
,আগে,O
,তুমি,O
,তার,O
,কথা,O
,হুনো,O
Sentence: 195,যৌবন,O
,আওনের,O
,আগেই,O
,তারে,O
,ভালো,O
,বাইসা,O
,ফালাইছিলাম,O
,আবার,O
,যৌবন,O
,শেষ,O
,হওনের,O
,ফরেও,O
,তারেই,O
,ভালো,O
,বাসমু,O
Sentence: 2631,বেহেরতে,O
,কাসের,O
,মানুষ,O
Sentence: 1896,আমরে,B-FOOD
,আমরার,O
,দেশে,B-LOC
,ফলের,B-FOOD
,রাজা’,O
,কওয়ন,O
,হয়,O
Sentence: 3027,আমার,O
,লগে,O
,দেহা,O
Sentence: 341,আফনের,O
,লেহার,O
,ধরণ,O
,মেলা,O
,সুন্দর,O
Sentence: 3406,দুফরো,O
,আমরার,O
,দাওয়াত,O
,আসিন,O
Sentence: 2514,হে,O
,মেলা,O
,ভীতু,O
Sentence: 2885,আমি,O
,চাইসি,O
Sentence: 2333,আমারে,O
,বিহালে,O
,খেলার,B-LOC
,মাঠে,I-LOC
,যাইতে,O
,হইব,O
Sentence: 3031,ঠিকি,O
,কইসিন,O
Sentence: 3328,মেলা,O
,ভালা,O
Sentence: 1556,আর,O
,পারলও,B-PER
,না,O
,বুঝে,O
,অন্যরারে,O
,দোষ,O
,দিতাসিল,O
Sentence: 41,আমার,O
,ছোট,B-REL
,বইন,I-REL
,ইস্কুলে,B-ORG
,যাইতে,O
,চায়,O
,না,O
Sentence: 1282,আমার,O
,বাসার,O
,কেউ,O
,আইলে,O
,উনি,O
,বাসায়,O
,ঝগড়াঝাটি,O
,শুরু,O
,কইরা,O
,দেন,O
Sentence: 620,সকল,O
,বাধা,O
,পার,O
,হয়া,O
,জীবনে,O
,সফল,O
,হইতে,O
,হইব,O
Sentence: 2401,আমার,O
,বইন,B-REL
,ইদানীং,O
,মেলা,O
,খারাপ,O
,আচরন,O
,করে,O
Sentence: 1971,চলোনা,O
,দুইজনে,O
,মিল্লা,O
,ঘুইরা,O
,আসি,O
Sentence: 53,তুমি,O
,কিতা,O
,আমার,O
,সাথে,O
,প্রেম,O
,করবা,O
Sentence: 196,সাত,O
,বছর,O
,বাদে,O
,খুইজ্জা,O
,পাইসি,O
,আমার,O
,প্রিয়,O
,গানডা,O
Sentence: 549,হেয়,O
,যেই,O
,মাইয়াডারে,O
,ভালবাসে,O
,হেই,O
,মাইয়াডা,O
,ঢাকায়,B-LOC
,থাহে,O
Sentence: 95,আমি,O
,জানি,O
,এইহানে,O
,অনেক,O
,ছেড়ি,O
,কমেন্ট,O
,পড়তে,O
,আইব,O
Sentence: 3432,ঢাহায়,B-LOC
,মিরপুরে,B-LOC
,থাহি,O
Sentence: 1058,আফনের,O
,মা,B-REL
,এবং,O
,জামাই,B-REL
,দুইজনেই,O
,সতর্ক,O
,হইব,O
,আফনের,O
,প্রতি,O
Sentence: 1728,আমরা,O
,বিদায়,O
,নিয়া,O
,চইল্লা,O
,আইলাম,O
Sentence: 1722,রিডিং,O
,রুমগুলা,O
,ভাগ,O
,ভাগ,O
,করা,O
,রইসে,O
Sentence: 3023,দেহা,O
,করবার,O
,আইসিন,O
Sentence: 1671,মেলাদিন,O
,ধইরা,O
,ওইডা,O
,খোলা,O
,হয়,O
,না,O
Sentence: 3224,আইন্নে,O
,নিজের,O
,পরিবার,O
,লইয়া,O
,বইন,O
Sentence: 1603,এক,O
,বই,B-OBJ
,লয়া,O
,এত,O
,ঘটনা,O
,ঘইটটা,O
,যাইব,O
Sentence: 2336,আমার,O
,পরিবার,O
,তোমারে,O
,কোনদিনও,O
,মাইন্না,O
,নিত,O
,না,O
Sentence: 1237,আমার,O
,জামাই,B-REL
,হাসপাতাল,B-ORG
,আইসে,O
,আমার,O
,আব্বারে,B-REL
,দেখতে,O
,না,O
,আমারে,O
,নিতে,O
Sentence: 1283,আমার,O
,জামাই,B-REL
,বাসায়,O
,কিসু,O
,আনলে,O
,সবার,O
,লাইজ্ঞা,O
,নিয়া,O
,আসেন,O
Sentence: 1137,আমার,O
,অসুস্থতার,O
,কারণে,O
,আমার,O
,এক,O
,বছর,O
,গ্যাপ,O
,গেসে,O
Sentence: 423,আফনেরা,O
,কি,O
,বাংলা,O
,সিনেমা,O
,দেখতে,O
,ভালবাসেন,O
Sentence: 576,বৃষ্টির,O
,লাইজ্ঞা,O
,ঢাকায়,B-LOC
,কুনোখানে,O
,নামাজ,O
,পড়ন,O
,হইব,O
,কি,O
Sentence: 804,আমার,O
,আর,O
,বাঁচতে,O
,ইচ্ছা,O
,করেনা,O
,জানেন,O
Sentence: 3405,আইজকা,O
,দুফোরো,O
,আমরার,O
,দাওয়াত,O
,আসিন,O
Sentence: 3349,চাকরি,O
,করে,O
Sentence: 3143,মনের,O
,কতা,O
,বুজি,O
,না,O
Sentence: 231,আমি,O
,জানি,O
,আমরার,O
,আর,O
,কোন,O
,দিন,O
,এপারে,O
,একলগে,O
,বই,B-OBJ
,পড়া,O
,হইতনা,O
Sentence: 729,আমি,O
,কিতা,O
,অনেক,O
,মোডা,O
Sentence: 1315,একটা,O
,পোলা,O
,যেমন,O
,হের,O
,বাপ,B-REL
,মার,B-REL
,দায়িত্ব,O
,পালন,O
,করে,O
Sentence: 2762,কিতা,O
,করো,O
Sentence: 2287,আমি,O
,আর,O
,তুমি,O
,একসাথে,O
,নাই,O
,আমি,O
,এইডা,O
,মানতে,O
,পারতাসি,O
,না,O
Sentence: 1745,আমি,O
,আইজকে,O
,কফি,B-FOOD
,খাই,O
,নাই,O
Sentence: 1459,হেয়,O
,স্কুলেই,B-ORG
,যায়,O
,নাই,O
,কহনো,O
Sentence: 2174,আমার,O
,বউ,B-REL
,আমারে,O
,ভালবাসে,O
,না,O
Sentence: 1092,ছেড়াডার,B-REL
,বাপ,B-REL
,চাচার,B-REL
,ভয়ে,O
,বাড়িত,O
,কিসু,O
,কইতে,O
,পারে,O
,নাহ,O
Sentence: 427,আফনে,O
,কি,O
,কথা,O
,কইতে,O
,ফারেন,O
,ইংরেজিতে,O
Sentence: 2675,আমরার,O
,বাড়ি,O
,চাঁদপুর,B-LOC
Sentence: 538,আমি,O
,ঢাকার,B-LOC
,মিরপুরে,I-LOC
,থাহি,O
Sentence: 3370,আইন্নে,O
,কি,O
,অন্যান্য,O
,বইডিও,B-OBJ
,পড়তাসুইন,O
Sentence: 1744,এর,O
,মাঝখানে,O
,চাকরির,O
,পড়াশুনায়,O
,বেশ,O
,খানিকটা,O
,ক্ষতি,O
,হয়া,O
,যায়,O
Sentence: 991,অনেক,O
,দিন,O
,আব্বার,O
,বাসায়,O
,আসিলাম,O
Sentence: 49,হেয়,O
,অনেকদিন,O
,আগে,O
,হের,O
,ইস্কুলের,B-ORG
,একটা,O
,ছেড়িরে,O
,ভালবাসতো,O
Sentence: 967,আমার,O
,হাত,O
,ব্যাথা,O
,করতাসে,O
Sentence: 570,তোমরার,O
,লাইজ্ঞা,O
,কিসু,O
,করতাম,O
,তো,O
,ফারলামই,O
,না,O
,উলডা,O
,পরিবাররে,O
,শেষ,O
,করলাম,O
Sentence: 913,তোমার,O
,লগে,O
,আমার,O
,জরুরি,O
,কথা,O
,আসে,O
Sentence: 2818,কিতা,O
,করো,O
Sentence: 2033,আমি,O
,আফনের,O
,কাসে,O
,শিক্ষা,O
,নিতাম,O
,চাই,O
Sentence: 1399,ওয়,O
,বুঝে,O
,না,O
,আমার,O
,ঠেকা,O
,নাই,O
,বুঝানোর,O
Sentence: 1988,তর,O
,নাম,O
,কি,O
Sentence: 3053,গাড়ির,B-OBJ
,রং,B-COL
,লাল,I-COL
Sentence: 1031,আমার,O
,আব্বা,B-REL
,আম্মা,B-REL
,মেলা,O
,বার,O
,মাফ,O
,চাইসে,O
Sentence: 1694,আরে,O
,এর,O
,মধ্যেই,O
,দেহি,O
,বিজয়,O
,মিছিল,O
,শুরু,O
,হয়া,O
,গেসে,O
Sentence: 2418,আমারে,O
,দয়া,O
,কইরা,O
,পরামর্শ,O
,দেন,O
,আমি,O
,এহন,O
,কিতা,O
,করতাম,O
,পারি,O
Sentence: 2502,আমি,O
,ওইনদিয়া,O
,যাইতাম,O
,না।,O
Sentence: 2896,তিনি,O
,বেশি,O
,লম্বা,O
,না,O
Sentence: 733,তোমার,O
,সৌন্দর্যোতা,O
,দেখতাসি,O
Sentence: 147,সত্যিকারের,O
,ভালোবাসা,O
,খালি,O
,ভালোবাসার,O
,মানুষটারে,O
,সুখী,O
,করতে,O
,চায়,O
,হের,O
,থাইক্কা,O
,কোনো,O
,প্রতিদান,O
,আশা,O
,করে,O
,না,O
Sentence: 1845,মা,B-REL
,ঝারু,B-OBJ
,দিয়া,O
,ঘরডা,O
,পরিষ্কার,O
,করতাসে,O
Sentence: 243,আমি,O
,যে,O
,বাবা,B-REL
,আমি,O
,আমার,O
,মাইয়ার,B-REL
,মুহের,O
,দিকে,O
,তাকাইয়া,O
,অনেক,O
,কিছু,O
,বুঝতে,O
,পারি,O
Sentence: 3422,তুমি,O
,গান,O
,গাইবার,O
,পারতা,O
,না,O
Sentence: 836,পার্টি,O
,তে,O
,যায়া,O
