Sentence #,noakhali_word,bio_tag
Sentence: 777,কিল্লাই,O
,আরে,O
,ভালোবাসো,O
,না,O
Sentence: 778,আর,O
,মইধ্যে,O
,সমস্যা,O
,আছে,O
Sentence: 779,আর,O
,মাতা,O
,গরম,O
,থায়,O
Sentence: 780,আই,O
,বদমেজাজি,O
,মানষ,O
Sentence: 781,বেশি,O
,কতা,O
,আর,O
,হছন্দ,O
,নো,O
Sentence: 782,তুউই,O
,একজন,O
,বেকুব,O
,মানুষ,O
Sentence: 783,তুউই,O
,বেশি,O
,কতা,O
,কও,O
Sentence: 784,তুউই,O
,কম,O
,কতা,O
,কও,O
Sentence: 785,আই,O
,আইজগা,O
,সকালে,O
,চা,B-FOOD
,খাই,O
,নো,O
Sentence: 786,আই,O
,আইজগা,O
,সকালে,O
,আর,O
,বন্দুগোর,B-REL
,লগে,O
,ঘুইরতাম,O
,গেছি,O
Sentence: 787,আই,O
,আইজগা,O
,সকালে,O
,আর,O
,বন্দুর,B-REL
,লগে,O
,কাইজ্জা,O
,কইচ্ছি,O
Sentence: 788,আর,O
,বন্দু,B-REL
,আর,O
,বেক,O
,কতা,O
,মনযোসহকারে,O
,হুনে,O
Sentence: 789,আর,O
,বন্দু,B-REL
,মনে,O
,হয়,O
,আরে,O
,মেলা,O
,ভালোবাসে,O
Sentence: 790,আর,O
,এককান,O
,বিলাই,B-ANI
,আছে,O
Sentence: 791,আর,O
,বিলাইর,B-ANI
,নাম,O
,মিনু,B-ANI
Sentence: 792,আই,O
,আর,O
,বিলাইড়,B-ANI
,লগে,O
,খেইলতা,O
,অনেক,O
,ভালোবাসি,O
Sentence: 793,এই,O
,চৌদ্দ,O
,বছরে,O
,আইজ,O
,ও,O
,হেতনে,O
,কোনদিন,O
,ও,O
,কোনকারনে,O
,আরে,O
,তুই,O
,করিও,O
,কয়,O
,নো,O
Sentence: 794,কোন,O
,সময়,O
,গায়ে,O
,আত,O
,তুলে,O
,নো,O
Sentence: 795,লোক,O
,দেয়ানো,O
,শেষ,O
Sentence: 796,এত,O
,জলদি,O
,শেষ,O
Sentence: 797,বুইঝতাম,O
,আছি,O
,না,O
,কি,O
,কইরগুম,O
,আই,O
Sentence: 798,আর,O
,দুগা,O
,বিয়া,O
,অইছে,O
Sentence: 799,আই,O
,ওকগা,O
,মাইয়া,O
,মানুষ,O
Sentence: 800,আর,O
,দ্বিতীয়,O
,বিয়া,O
,লই,O
,আর,O
,নিজের,O
,কাগুরা,B-REL
,মামুরা,B-REL
,আরে,O
,খোডা,O
,মারি,O
,কতা,O
,কয়,O
Sentence: 801,কিন্তু,O
,আইজ,O
,হইরজন্ত,O
,আর,O
,উনি,O
,আরে,O
,খোডা,O
,মারি,O
,কতা,O
,কয়নো,O
Sentence: 802,আই,O
,ভাবি,O
,আরি,O
,আপন,O
,লোক,O
,এরুম,O
,না,O
,নি,O
,অয়,O
Sentence: 803,আর,O
,আপন,O
,লোকগুলোই,O
,এরুম,O
Sentence: 804,আর,O
,আর,O
,বাইচতে,O
,মন,O
,চায়না,O
,জানেন,O
,নি,O
Sentence: 805,আর,O
,প্রথম,O
,বিয়া,O
,আরে,O
,জোর,O
,করি,O
,দিছে,O
Sentence: 806,হিয়ানে,O
,হোলা,O
,একছের,O
,কিপটা,O
,আছিলো,O
,আই,O
,দুইবেলা,O
,ভাত,B-FOOD
,খাইতে,O
,হাইরতাম,O
,না,O
Sentence: 807,দ্বিতীয়,O
,বিয়াত,O
,আই,O
,কল্পনার,O
,তুন,O
,ও,O
,বেশি,O
,সুখী,O
Sentence: 808,ইগিন,O
,দেই,O
,ও,O
,বেকে,O
,না,O
,দেনের,O
,ভান,O
,করে,O
Sentence: 809,খোডা,O
,মারার,O
,মতন,O
,কতা,O
,আর,O
,ইয়ান,O
,ই,O
,আছে,O
,যে,O
,আর,O
,বিয়া,O
,দুগা,O
Sentence: 810,আর,O
,সুখ,O
,দেই,O
,হেতাগো,O
,আবার,O
,সইজ্জ,O
,অয়,O
,না,O
Sentence: 811,বিয়া,O
,করনের,O
,হাছ,O
,বছর,O
,হর,O
,আই,O
,অন,O
,স্মার্ট,O
,অইছি,O
Sentence: 812,প্রথম,O
,প্রথম,O
,বৌ,B-REL
,এর,O
,মেলা,O
,প্রশ্নের,O
,ঠিক,O
,উত্তর,O
,দি,O
,বিপদে,O
,হইরতাম,O
Sentence: 813,বিশাল,O
,ক্যাচাল,O
,লাগি,O
,যাইতো,O
Sentence: 814,এরহর,O
,তুন,O
,আই,O
,ঠিক,O
,কইরলাম,O
,তেল,O
,মারা,O
,উত্তর,O
,দিয়ুম,O
Sentence: 815,এডাত,O
,ও,O
,কোনো,O
,লাব,O
,অয়নো,O
Sentence: 816,ক্যাচাল,O
,থাইমলো,O
,না,O
Sentence: 817,হালকা,O
,পাতলা,O
,লাব,O
,অয়,O
Sentence: 818,বৌ,B-REL
,খানের,O
,সময়,O
,বড্ডা,O
,এক্কান,O
,আসি,O
,দি,O
,কইলো,O
,পাক,O
,কিরুম,O
,অইছে,O
Sentence: 819,খাওনের,B-FOOD
,মইধ্যে,O
,রসুন,B-FOOD
,আরেক্কানা,O
,বাড়াই,O
,দিলে,O
,খাওন,O
,বেশি,O
,স্বাদ,O
,অইলো,O
,ও,O
Sentence: 820,খাওনে,B-FOOD
,নুন,B-FOOD
,কদ্দুর,O
,কম,O
,অইছে,O
Sentence: 821,তোওর,O
,খানা,O
,লাইগদো,O
,নো,O
Sentence: 822,আই,O
,তো,O
,আসলে,O
,কিছুই,O
,হারি,O
,না,O
Sentence: 823,বৌ,B-REL
,এর,O
,চোখ,O
,কান,O
,ছলছল,O
Sentence: 824,তুই,O
,আরে,O
,আর,O
,কত,O
,অবাক,O
,কইরবা,O
Sentence: 825,ওকগা,O
,চামুচ,B-OBJ
,খানা,O
,খাই,O
,এ,O
,এতাগাইন,O
,কতা,O
,কই,O
,দিলা,O
Sentence: 826,ফাফর,O
,বাজি,O
,এককানা,O
,কমাই,O
,কর,O
Sentence: 827,তুমি,O
,রাঁধছো,O
Sentence: 828,আই,O
,তো,O
,মনে,O
,কইরছি,O
,শাশুড়ি,B-REL
,আম্মা,I-REL
,আর,O
,লাই,O
,রাঁধি,O
,হাডাইছে,O
Sentence: 829,তোআর,O
,রান্না,O
,তো,O
,হুরা,O
,আম্মার,B-REL
,লাইন,O
Sentence: 830,আরেক্কানা,O
,খাও,O
,ওকগা,O
,চামুচ,B-OBJ
,দি,O
Sentence: 831,মেকআপ,O
,টা,O
,কিরুমনা,O
,অইছে,O
Sentence: 832,এক্কানা,O
,বেশি,O
,অই,O
,গেছে,O
,আরেক্কানা,O
,কম,O
,অইলে,O
,ভালা,O
,লাইগলো,O
,ও,O
Sentence: 833,বৌ,B-REL
,মেকআপ,O
,তুইলতে,O
,তুইলতে,O
,যাইতাম,O
,এ,O
,নো,O
,আইজ,O
Sentence: 834,আই,O
,তো,O
,মেকআপই,O
,দিতাম,O
,হারি,O
,না,O
Sentence: 835,তুমি,O
,যাও,O
,একলা,O
,একলা,O
Sentence: 836,হার্টি,O
,তে,O
,যাই,O
,সুন্দরী,O
,গুনের,O
,লগে,O
,ঢং,O
,করি,O
,আইও,O
Sentence: 837,কেন্নে,O
,করি,O
,এতো,O
,ভালা,O
,মেকআপ,O
,করো,O
Sentence: 838,না,O
,বুঝি,O
,বেশি,O
,কথা,O
,কন,O
,কিল্লেই,O
Sentence: 839,আর,O
,দিকে,O
,তো,O
,আর,O
,রেনো,O
,না,O
,রেনি,O
,থাও,O
,অন্য,O
,বেডিগোর,O
,দিকে,O
Sentence: 840,আই,O
,অনেকক্ষণ,O
,যাবত,O
,হেতির,O
,মুখের,O
,দিকে,O
,রেনি,O
,রইলাম,O
Sentence: 841,তুমি,O
,এতো,O
,কিছুন,O
,বুঝো,O
,কেন্নে,O
Sentence: 842,শাড়িটা,B-OBJ
,আরে,O
,কিরুম,O
,মানাইছে,O
Sentence: 843,সবুজ,B-COL
,শাড়িটা,B-OBJ
,হইরলে,O
,দারুণ,O
,লাইগতো,O
Sentence: 844,সবুজ,B-COL
,শাড়ি,B-OBJ
,কি,O
,তোমার,O
,এক্স,O
,কোনো,O
,গার্লফ্রেন্ডের,B-REL
,হছন্দের,O
,রঙ,O
Sentence: 845,এই,O
,সব,O
,পাম্প,O
,আরে,O
,দিও,O
,না,O
,বিরক্ত,O
,লাগে,O
Sentence: 846,মাথায়,O
,রাইখো,O
,বিয়া,O
,বাড়িত,O
,যাইতাছো,O
Sentence: 847,বৌ,B-REL
,এর,O
,তুন,O
,তোয়ারে,O
,বেশী,O
,সুন্দর,O
,লাইগলে,O
,কিন্তু,O
,সমইস্যা,O
Sentence: 848,বিবাহিত,O
,জীবনে,O
,সুখে,O
,থান,O
Sentence: 849,আর,O
,হাই,B-REL
,মদ,B-FOOD
,খায়,O
,রাইতের,O
,পর,O
,রাইত,O
,বন্ধুগো,B-REL
,লগে,O
,আড্ডা,O
,দেয়,O
Sentence: 850,আই,O
,এটা,O
,স্বাভাবিক,O
,ভাবেই,O
,লইছিলাম,O
Sentence: 851,আর,O
,কাছে,O
,ধরা,O
,হরনের,O
,হর,O
,ও,O
,স্বীকার,O
,না,O
,করি,O
,উল্টা,O
,আর,O
,গাত,O
,আত,O
,উডায়,O
Sentence: 852,অন,O
,আর,O
,হেতেরে,O
,ছাড়,O
,দেওন,O
,যাইতো,O
,ন,O
Sentence: 853,যে,O
,মানুষ,O
,গাত,O
,আত,O
,উডায়,O
,অন্য,O
,বেডি,O
,গো,O
,লগে,O
,কতা,O
,কয়,O
,ঘরে,O
,বৌ,B-REL
,রাই,O
Sentence: 854,এরুমনা,O
,বেডা,O
,গো,O
,লগে,O
,সংসার,O
,করন,O
,যায়,O
,না,O
Sentence: 855,কোন,O
,মাইনষের,O
,প্রতি,O
,একবার,O
,বিশ্বাস,O
,উডি,O
,গেলে,O
,অভিনয়,O
,করি,O
,বেশিদিন,O
,হিয়ানে,O
,থান,O
,যায়,O
,না,O
Sentence: 856,আর,O
,সইহ্য,O
,কইরতাম,O
,না,O
,হারি,O
,আন্নেগো,O
,কাছে,O
,সঠিক,O
,হরামর্শ,O
,চাইতেছি,O
Sentence: 857,আর,O
,আব্বা,B-REL
,হুলিশে,B-ROLE
,আছেন,O
,তো,O
,মার,B-REL
,লগে,O
,বিয়ার,O
,হর,O
,তুনই,O
,হেতে,O
,হরকিয়ায়,O
,আসক্ত,O
,আছিলেন,O
Sentence: 858,মা,B-REL
,অনেক,O
,সইহ্য,O
,করি,O
,এতাগাইন,O
,বছর,O
,সংসার,O
,করি,O
,গেছেন,O
Sentence: 859,এর,O
,মইধ্যে,O
,অনেক,O
,সময়,O
,ভালা,O
,অই,O
,যাইতো,O
,আবার,O
,খারাপ,O
,অই,O
,যাইতো,O
Sentence: 860,শেষ,O
,বয়সে,O
,আই,O
,হেতে,O
,অন,O
,এমন,O
,এককান,O
,জঘন্য,O
,কাম,O
,কইরলো,O
Sentence: 861,হেতে,O
,দ্বিতীয়,O
,বিয়া,O
,কইছে,O
,ওকগা,O
,বিবাহিত,O
,মহিলারে,O
Sentence: 862,হেতে,O
,দ্বিতীয়,O
,বিয়া,O
,করি,O
,শান্তি,O
,হায়,O
,নো,O
Sentence: 863,আব্বার,B-REL
,কাছে,O
,আর,O
,মার,B-REL
,নামে,O
,অনেক,O
,উল্টা,O
,পাল্টা,O
,কথা,O
,কয়,O
Sentence: 864,আই,O
,ওকগা,O
,পাবলিক,B-ORG
,বিশ্ববিদ্যালয়ে,I-ORG
,হড়াশোনা,O
,কইরছি,O
Sentence: 865,হেতে,O
,অন,O
,আর,O
,হড়াশোনার,O
,খরচ,O
,দিতে,O
,চায়,O
,না,O
Sentence: 866,ঐ,O
,বেডি,O
,আর,O
,হেতে,O
,মিলি,O
,আরে,O
,গালিগালাজ,O
,কইরতে,O
,থায়,O
Sentence: 867,আই,O
,তোর,O
,হড়াশোনার,O
,কোনো,O
,খরচ,O
,দিতান,O
,ন,O
Sentence: 868,আরে,O
,দয়া,O
,করি,O
,সঠিক,O
,হরার্মশ,O
,দি,O
,এককানা,O
,সাহায্য,O
,করেন,O
Sentence: 869,আই,O
,কী,O
,কইরতাম,O
,হারি,O
Sentence: 870,আটাশ,O
,বছর,O
,ধরি,O
,আর,O
,মা,B-REL
,কষ্ট,O
,করি,O
,গেছেন,O
Sentence: 871,অন্যদিকে,O
,এতো,O
,অন্যায়,O
,করার,O
,হরও,O
,আর,O
,বাবা,B-REL
,আর,O
,ঐ,O
,বেডি,O
,অনেক,O
,সুখে,O
,আছেন,O
Sentence: 872,আন্নেগো,O
,তুন,O
,কিছু,O
,ভালো,O
,হরামর্শ,O
,লইতে,O
,আইলাম,O
Sentence: 873,আই,O
,একজন,O
,অবিবাহিতা,O
Sentence: 874,ছোট,O
,তুন,O
,নানার,B-REL
,বাসাত,O
,বড়,O
,অইছি,O
Sentence: 875,অন,O
,নানার,B-REL
,বাসাত,O
,ই,O
,থাই,O
Sentence: 876,আঙ্গো,O
,যৌথ,O
,হরিবার,O
,আছিলো,O
,নানার,B-REL
,বাসাত,O
Sentence: 877,আর,O
,আব্বা,B-REL
,আগে,O
,নেশাত,O
,আসক্ত,O
,আছিলো,O
Sentence: 878,আঙ্গো,O
,লগে,O
,আর,O
,আব্বা,B-REL
,তেমন,O
,সময়,O
,কাটাইতো,O
,না,O
Sentence: 879,আব্বা,B-REL
,হারাদিন,O
,বাইরে,O
,বাইরে,O
,রইতো,O
Sentence: 880,আই,O
,তন,O
,অনেক,O
,ছোডো,O
,আছিলাম,O
Sentence: 881,আর,O
,হুক্কু,B-REL
,কাগারাও,B-REL
,আঙ্গোরে,O
,দেইখতে,O
,হাইরতো,O
,না,O
Sentence: 882,মাই,B-REL
,আরে,O
,আর,O
,ভাইরে,B-REL
,বড়,O
,কইরছে,O
,অনেক,O
,কষ্ট,O
,করি,O
Sentence: 883,আরে,O
,আগে,O
,বেকে,O
,আদর,O
,কইরতো,O
Sentence: 884,যত,O
,বড্ডা,O
,অইলাম,O
,বেকের,O
,চোখে,O
,এক,O
,হকার,O
,বিষের,O
,মতন,O
,অই,O
,গেলাম,O
,আই।,O
Sentence: 885,আগের,O
,তুলনায়,O
,আব্বা,B-REL
,অনেক,O
,ভালা,O
,অইছেন,O
Sentence: 886,আর,O
,খালার,B-REL
,বিয়া,O
,অইছে,O
,২০১৫,O
,তে,O
Sentence: 887,আর,O
,খালার,B-REL
,দুগা,O
,হোলা,B-REL
,আছে,O
Sentence: 888,বিয়ার,O
,আগে,O
,খালাই,B-REL
,আরে,O
,বড়,O
,কইরছে,O
Sentence: 889,মা,B-REL
,কিছু,O
,অইলেই,O
,আরে,O
,মাইর,O
,ধইর,O
,করে,O
Sentence: 890,আর,O
,আব্বা,B-REL
,যে,O
,এত,O
,খারাপ,O
,কওনো,O
,ওকগা,O
,হুলের,O
,টোয়াও,O
,দেয়,O
,ন,O
Sentence: 891,আই,O
,ওকগা,O
,হোলা,O
,অন,O
,বাংলাদেশ,B-ORG
,নেভীতে,I-ORG
,কাজ,O
,কইরতেছি,O
Sentence: 892,আই,O
,চার,O
,মাস,O
,আগে,O
,হরিবারের,O
,হছন্দে,O
,বিয়া,O
,কইরছি,O
Sentence: 893,আই,O
,ভোর,O
,আট,O
,টায়,O
,ডিউটিতে,O
,চলি,O
,যাই,O
Sentence: 894,আর,O
,ইস্ত্রী,B-REL
,ওকগা,O
,দিনও,O
,সময়মতো,O
,টেবিলে,B-OBJ
,খাওন,O
,দিতে,O
,হারে,O
,না,O
,অনেক,O
,সময়,O
,বাইরে,O
,যাইয়া,O
,নাস্তা,B-FOOD
,করি,O
Sentence: 895,হেতি,O
,এতো,O
,ভোরে,O
,নাকি,O
,উইঠতো,O
,হারে,O
,না,O
Sentence: 896,সে,O
,তার,O
,বাপের,B-REL
,বাড়িতে,O
,থাকতে,O
,নাকি,O
,দশ,O
,টার,O
,আগে,O
,ঘুম,O
,থেকে,O
,উঠতো,O
,নাহ,O
Sentence: 897,হেতি,O
,হচন্ড,O
,অলস,O
,ওকগা,O
,কাজ,O
,সময়মতন,O
,কইরতে,O
,হারে,O
,না,O
Sentence: 898,হারাদিন,O
,বাসায়,O
,বই,O
,ফেইসবুক,B-ORG
,টিকটকে,B-ORG
,সময়,O
,কাডে,O
,হেতির,O
Sentence: 899,আঙ্গো,O
,মইধ্যে,O
,হায়সময়,O
,ঝগড়া,O
,অয়,O
Sentence: 900,আই,O
,খুব,O
,সমস্যায়,O
,আছি,O
Sentence: 901,দিন,O
,দিন,O
,হতাশার,O
,মইধ্যে,O
,ডুবি,O
,যাইতেছি,O
,এডার,O
,তুন,O
,মুক্তি,O
,হাইয়ুম,O
,কেন্নে,O
Sentence: 902,আই,O
,সত্যিই,O
,খুব,O
,অসহায়,O
,বোধ,O
,কইরতেছি,O
Sentence: 903,পোস্ট,O
,ভালা,O
,না,O
,লাইগলে,O
,এড়াই,O
,যান,O
Sentence: 904,ওকগা,O
,মাইয়া,O
,ছোগা,O
,হোলার,O
,লগে,O
,হেরেম,O
,কইরছে,O
Sentence: 905,ভিডিও,O
,বানানির,O
,কী,O
,দরকার,O
,আছিলো,O
Sentence: 906,আর,O
,তো,O
,মনে,O
,অয়,O
,মাইয়াগো,O
,ওকগার,O
,বেশি,O
,ডেট,O
,করন,O
,উচিত,O
Sentence: 907,এরুম,O
,কইরতেসে,O
,কিল্লেই,O
,বই,O
,বই,O
Sentence: 908,হেতে,O
,হিসাব,O
,মিলাইতে,O
,হাইরতেছেন,O
,না,O
Sentence: 909,এডা,O
,কী,O
,করি,O
,সম্ভব,O
Sentence: 910,তুমি,O
,ঘুম,O
,তুন,O
,উডি,O
,আরে,O
,কল,O
,দিও,O
Sentence: 911,তুমি,O
,এত,O
,ঘুমাও,O
,কিল্লেই,O
Sentence: 912,তোমার,O
,এত,O
,ঘুম,O
,আইয়ে,O
,কিল্লেই,O
Sentence: 913,তোমার,O
,লগে,O
,আর,O
,জরুরি,O
,কতা,O
,আছে,O
Sentence: 914,ওকগা,O
,স্বাভাবিক,O
,মানুষ,O
,এত,O
,ঘুমায়,O
,না,O
Sentence: 915,আর,O
,ভোরে,O
,উডি,O
,ই,B-FOOD
,চা,O
,খাওনের,O
,অভ্যাস,O
Sentence: 916,আর,O
,সন্ধায়,O
,কফি,B-FOOD
,খাওনের,O
,অভ্যাস,O
,আছে,O
Sentence: 917,তুমি,O
,দুপুরে,O
,কি,O
,দি,O
,ভাত,B-FOOD
,খাইছো,O
Sentence: 918,তুমি,O
,কি,O
,রাইতের,O
,বেলা,O
,বাইরে,O
,বের,O
,অইবা,O
Sentence: 919,আন্নের,O
,বেকের,O
,তুন,O
,কাছের,O
,মানুষটি,O
,কে,O
Sentence: 920,আন্নের,O
,লগে,O
,কতা,O
,কইতে,O
,অনেক,O
,ভালা,O
,লাগে,O
,আর,O
Sentence: 921,আর,O
,অনেক,O
,খারাপ,O
,লাইগছে,O
Sentence: 922,আর,O
,মনে,O
,অয়,O
,যে,O
,আই,O
,কিছুই,O
,মনে,O
,রাইখতে,O
,হাইরতেছি,O
,না,O
Sentence: 923,আর,O
,ছোডো,B-ROLE
,বইন,I-ROLE
,নানার,B-REL
,বাড়ীত,O
,ঘুইরতো,O
,গেছে,O
Sentence: 924,হেতে,O
,হরের,O
,মাসে,O
,বিদেশ,B-LOC
,চলি,O
,যাইবো,O
Sentence: 925,মাইয়াডা,O
,খুবই,O
,বেদ্দপ,O
Sentence: 926,মাইয়াডা,O
,হারাক্ষন,O
,মিছা,O
,কতা,O
,কয়,O
Sentence: 927,হোলাগা,O
,রাস্তা,B-LOC
,দি,O
,আডি,O
,যায়,O
Sentence: 928,ওকগা,O
,বিলাই,B-ANI
,দরজার,B-OBJ
,সামনে,O
,বই,O
,আছে,O
Sentence: 929,ওকগা,O
,কুত্তা,B-ANI
,রাস্তাত,B-LOC
,বই,O
,রইছে,O
Sentence: 930,ওকগা,O
,ধলা,B-COL
,রঙের,I-COL
,হাখি,B-ANI
,আকাশে,O
,উইড়তেছে,O
Sentence: 931,অল্পবয়সী,O
,ওকগা,O
,হোলা,O
,বাইরে,O
,ফুটপাতে,B-LOC
,দৌড়াইতেছে,O
Sentence: 932,আই,O
,কামে,O
,যাইতে,O
,চাই,O
,না,O
Sentence: 933,আন্নে,O
,এই,O
,কলমকান,B-OBJ
,নেন,O
Sentence: 934,আরে,O
,সত্যি,O
,কতা,O
,কন,O
Sentence: 935,তুমি,O
,ঘুম,O
,তুন,O
,তাড়াতাড়ি,O
,উডি,O
,যাও,O
Sentence: 936,আন্নে,O
,ঘুম,O
,তুন,O
,উইডতে,O
,চান,O
,না,O
Sentence: 937,আই,O
,ভোরে,O
,নাস্তা,B-FOOD
,করি,O
,ইস্কুলে,B-ORG
,যাই,O
Sentence: 938,আর,O
,ভোরে,O
,কিছু,O
,খাইতে,O
,ভালা,O
,লাগে,O
,না,O
Sentence: 939,আমরা,O
,হারি,O
,গেছি,O
Sentence: 940,আমরা,O
,হারি,O
,গেছিলাম,O
Sentence: 941,আমকান,B-FOOD
,কে,O
,খাইছিলো,O
Sentence: 942,আই,O
,আজি,O
,গেছি,O
Sentence: 943,আই,O
,ঠিক,O
,আছি,O
Sentence: 944,আরে,O
,বিশ্বাস,O
,করো,O
Sentence: 945,আর,O
,হশ্নের,O
,জবাব,O
,দেন,O
Sentence: 946,আই,O
,হেতেরে,O
,দেইখতে,O
,হাইলাম,O
Sentence: 947,আরে,O
,ঢুইকতে,O
,দেন,O
Sentence: 948,আরে,O
,যাইতে,O
,দাও,O
Sentence: 949,ইয়ানো,O
,অপেক্ষা,O
,করেন,O
Sentence: 950,আই,O
,বেরামে,O
,হরি,O
,গেছিলাম,O
Sentence: 951,আই,O
,হিগুনরে,O
,চাই,O
,হালাইছি,O
Sentence: 952,সময়,O
,শেষ,O
,অই,O
,গেছে,O
Sentence: 953,আমরা,O
,অপেক্ষা,O
,কইরগুম,O
Sentence: 954,হেতে,O
,উডি,O
,দাঁড়াইলেন,O
Sentence: 955,আই,O
,বেশি,O
,লম্বা,O
Sentence: 956,আই,O
,মাফ,O
,চাইছি,O
Sentence: 957,আই,O
,হিরি,O
,আইলাম,O
Sentence: 958,আই,O
,কেক,B-FOOD
,হছন্দ,O
,করি,O
Sentence: 959,এক্কানা,O
,ঘুমাই,O
,নাও,O
Sentence: 960,আই,O
,একলা,O
,আছিলাম,O
Sentence: 961,আর,O
,লগে,O
,আইয়েন,O
Sentence: 962,হেতে,O
,চেতি,O
,গেছিলেন,O
Sentence: 963,আর,O
,হাতকান,O
,ধরেন,O
Sentence: 964,আই,O
,অবাক,O
,অই,O
,গেছিলাম,O
Sentence: 965,আই,O
,আইতান,O
,নো,O
Sentence: 966,আই,O
,হাইরতাম,O
,ন,O
Sentence: 967,আর,O
,হাত,O
,ব্যাথা,O
,কইরতেছে,O
Sentence: 968,আর,O
,পা,O
,ব্যাথা,O
,কইরতেছে,O
Sentence: 969,আন্নেরে,O
,কে,O
,হাডাইছে,O
Sentence: 970,তোয়ারে,O
,দেই,O
,অসুস্থ,O
,মনে,O
,অইতেছে,O
Sentence: 971,আন্নেরা,O
,আগে,O
,দি,O
,যান,O
Sentence: 972,আরে,O
,বোলাইবেন,O
,না,O
Sentence: 973,আর,O
,হলুদ,B-COL
,রঙ,O
,হছন্দ,O
Sentence: 974,আই,O
,আপেল,B-FOOD
,হছন্দ,O
,করি,O
Sentence: 975,আর,O
,ঠান্ডা,O
,লাইগছে,O
Sentence: 976,আর,O
,খিদা,O
,পাইতেছে,O
Sentence: 977,আই,O
,বিদেশে,B-LOC
,গেছিলাম,O
Sentence: 978,আই,O
,ভিতরে,O
,গেলাম,O
Sentence: 979,হেতে,O
,রাগি,O
,গেছিলো,O
Sentence: 980,আরে,O
,হিয়ানে,O
,নি,O
,চলেন,O
Sentence: 981,হেতি,O
,আর,O
,বৌ,B-REL
Sentence: 982,আন্নেরে,O
,দেই,O
,অসুস্থ,O
,মনে,O
,অইতেছে,O
Sentence: 983,আঙ্গো,O
,বিয়ার,O
,হর,O
,তুনই,O
,নানা,O
,ছোডখাডো,O
,কারনে,O
,ঝগড়া,O
,লাগি,O
,থাইকতো,O
Sentence: 984,আই,O
,বুইঝতে,O
,হাইরতাম,O
,হেতের,O
,অন্য,O
,কোনানো,O
,সম্পর্কে,O
,আছে,O
Sentence: 985,হেতে,O
,কোনো,O
,দিন,O
,স্বীকার,O
,করে,O
,না,O
Sentence: 986,এন্নে,O
,নানা,O
,রকম,O
,ঝামেলা,O
,অইতে,O
,থায়,O
Sentence: 987,আঙ্গো,O
,পারিবারিক,O
,ভাবে,O
,বিয়া,O
,হয়,O
Sentence: 988,যন,O
,বাইত,O
,জানাই,O
,তন,O
,নানা,O
,রকম,O
,কতা,O
,হয়,O
Sentence: 989,বেশ,O
,কয়েক,O
,বার,O
,হেতেরে,O
,সু্যোগ,O
,দেয়া,O
,অয়,O
Sentence: 990,কিন্তু,O
,হেতে,O
,ভালা,O
,অয়নো,O
Sentence: 991,অনেক,O
,দিন,O
,আব্বার,B-REL
,বাসাত,O
,আছিলাম,O
Sentence: 992,তোয়ারে,O
,ছাড়া,O
,বাচমু,O
,তোয়ার,O
,বিয়াতেও,O
,নাচমু,O
Sentence: 993,হিগা,O
,তন,O
,আবার,O
,হিরি,O
,চায়,O
,আরে,O
Sentence: 994,এক,O
,হর্যায়,O
,এরুম,O
,অবস্থা,O
,করি,O
,হালায়,O
,যে,O
,আইও,O
,দুর্বল,O
,অই,O
,যাই,O
Sentence: 995,কিছু,O
,দিন,O
,হেতে,O
,ভালা,O
,থায়,O
Sentence: 996,এর,O
,হরে,O
,ওকগার,O
,হর,O
,ওকগা,O
,অশান্তি,O
,বাইড়তে,O
,থায়,O
Sentence: 997,হেতে,O
,যেতির,O
,লগে,O
,সম্পর্কে,O
,জড়াই,O
,হেতিরে,O
,বিয়া,O
,কইরতো,O
,ন,O
,কই,O
,কিন্তু,O
,সম্পর্ক,O
,রাইখবো,O
Sentence: 998,হেতে,O
,শুধু,O
,আরে,O
,খাওন,B-FOOD
,টুকুন,O
,ঠিক,O
,মতন,O
,দেয়,O
,যেন,O
,কাউরে,O
,কইতে,O
,না,O
,হারি,O
Sentence: 999,আর,O
,তো,O
,এককান,O
,হাত,O
,খরচ,O
,লাগে,O
,হিয়ান,O
,ও,O
,হেতে,O
,দেয়না,O
Sentence: 1000,বাবা,B-REL
,হিসাবে,O
,হোলারে,B-REL
,ভালবাসে,O
,অনেক,O
Sentence: 1001,চুপ,O
,আছিলাম,O
,বুঝাইছি,O
,অনেক,O
,লাভ,O
,অয়নো,O
Sentence: 1002,এক,O
,হর্যায়ে,O
,আবারো,O
,বাড়িত,O
,জানানো,O
,হয়,O
Sentence: 1003,তন,O
,হেতে,O
,অনেক,O
,খারাপ,O
,আচরন,O
,করে,O
Sentence: 1004,হেতে,O
,আর,O
,হরিবারের,O
,কাউরে,O
,সম্মান,O
,করেনা,O
Sentence: 1005,হেতে,O
,কারো,O
,লগে,O
,কথা,O
,কয়না,O
,কারো,O
,বাসাত,O
,যায়না,O
Sentence: 1006,এমন,O
,কি,O
,আর,O
,বাপ,B-REL
,মা,B-REL
,সামনে,O
,আইলে,O
,সালাম,O
,হইর্যন্ত,O
,দেয়না,O
Sentence: 1007,হেতে,O
,হেতাগো,O
,লগে,O
,সম্পর্ক,O
,রাইখতো,O
,ন,O
Sentence: 1008,আই,O
,তন,O
,কই,O
,কেন,O
,কি,O
,অইছে,O
Sentence: 1009,তারা,O
,আমাকে,O
,অনেক,O
,অপমান,O
,করছে,O
Sentence: 1010,আপনারা,O
,বলেন,O
,সে,O
,পরকিয়া,O
,করবে,O
