Sentence #,barishal_word,bio_tag
Sentence: 854,এরহম,O
,ব্যাডার,O
,লগে,O
,সংসার,O
,যায়,O
,না,O
Sentence: 855,কোন,O
,মাইনষের,O
,উপরেগোনে,O
,একবার,O
,বিশ্বাস,O
,উইঠঠা,O
,গ্যালে,O
,অভিনয়,O
,কইররা,O
,ম্যালা,O
,দিন,O
,হেইহানে,O
,থাহা,O
,যায়,O
,না,O
Sentence: 856,আর,O
,সইতে,O
,না,O
,পাইররা,O
,আমনেগো,O
,ধারে,O
,সঠিক,O
,পরামর্শ,O
,চাইতেয়াছি,O
Sentence: 857,মোর,O
,বাফে,B-REL
,পুলিশে,B-ROLE
,আছেন,O
,তয়,O
,মায়ের,B-REL
,লগে,O
,বিয়ার,O
,পরে,O
,গোনেই,O
,হ্যায়,O
,পরকীয়ায়,O
,আসক্ত,O
,আল্লেন,O
Sentence: 858,মায়,B-REL
,ম্যালা,O
,সইয়া,O
,এত্তো,O
,বছর,O
,সংসার,O
,কইররা,O
,গ্যাছে,O
Sentence: 859,এইয়ার,O
,মইধ্যে,O
,অনেক,O
,কালে,O
,ভালো,O
,হইয়া,O
,যাইতে,O
,আবার,O
,খারাপ,O
,হইয়া,O
,যাইতে,O
Sentence: 860,শ্যাষ,O
,বয়সেরকালে,O
,আইয়া,O
,হ্যায়,O
,এরহম,O
,এউক্কা,O
,জঘইন্য,O
,কাম,O
,করছে,O
Sentence: 861,হ্যায়,O
,দুইনাম্বার,O
,বিয়া,O
,করছে,O
,এইক্কা,O
,বিয়াইত্যা,O
,মাতারিরে,O
Sentence: 862,হ্যায়,O
,দুইনাম্বার,O
,বিয়া,O
,কইররা,O
,শান্তি,O
,পায়,O
,নাই,O
Sentence: 863,বাফের,B-REL
,ধারে,O
,মোর,O
,মায়ের,B-REL
,নামে,O
,ম্যালা,O
,আউল,O
,ফাউল,O
,কথা,O
,কয়,O
Sentence: 864,মুই,O
,এউক্কা,O
,পাবলিক,B-ORG
,বিশ্ববিদ্যায়ে,I-ORG
,পড়ালেহা,O
,করতেয়াছি,O
Sentence: 865,হ্যায়,O
,এহন,O
,মোর,O
,পড়ালেহার,O
,খরচ,O
,দেতে,O
,চায়,O
,না,O
Sentence: 866,হেই,O
,মাতারি,O
,আর,O
,হ্যায়,O
,মিল্লা,O
,মোরে,O
,খামরাখামরি,O
,করতে,O
,থাহে,O
Sentence: 867,মুই,O
,হ্যার,O
,পড়ালেহার,O
,কোন,O
,খরচ,O
,দিমু,O
,না,O
Sentence: 868,মোরে,O
,দয়া,O
,কইররা,O
,সঠিক,O
,পরামর্শ,O
,দিয়া,O
,এট্টু,O
,সাহাইয্য,O
,করেন,O
Sentence: 869,মুই,O
,কি,O
,করতে,O
,পারি,O
Sentence: 870,আডাইশ,O
,বছর,O
,ধইররা,O
,মোর,O
,মায়,B-REL
,কষ্ট,O
,কইররা,O
,গ্যাছে,O
Sentence: 871,অন্যদিক,O
,এত্তো,O
,অন্যায়,O
,করার,O
,পরো,O
,মোর,O
,বাফে,B-REL
,আর,O
,ঐ,O
,মাতারি,O
,বেমালা,O
,সুখে,O
,আছে,O
Sentence: 872,আমনের,O
,ধারে,O
,কয়ডা,O
,ভালো,O
,পরামর্শ,O
,নেতে,O
,আইলাম,O
Sentence: 873,মুই,O
,এউক্কা,O
,আবিয়াইত্যা,O
Sentence: 874,ল্যাদাকাল,O
,গোনে,O
,নানার,B-REL
,বাড়ি,O
,বড়,O
,হইছি,O
Sentence: 875,এহন,O
,নানার,B-REL
,বাড়িই,O
,থাহি,O
Sentence: 876,মোগো,O
,যৌথ,O
,পরিবার,O
,আল্লেহ,O
,নানার,B-REL
,বাড়ি,O
Sentence: 877,মোর,O
,বাফে,B-REL
,নেশায়,O
,আসক্ত,O
,আল্লেহ,O
Sentence: 878,মোগো,O
,লগে,O
,মোর,O
,বাফে,B-REL
,হেইরোম,O
,সময়,O
,কাডাইতে,O
,না,O
Sentence: 879,আব্বায়,B-REL
,হারাদিন,O
,বায়রায়,O
,বায়রায়,O
,থাকতে,O
Sentence: 880,মুই,O
,তহন,O
,ম্যালা,O
,ছোডো,O
,আল্লাম,O
Sentence: 881,মোর,O
,হুবু,B-REL
,চাচারাও,B-REL
,মোগো,O
,দ্যাখতে,O
,পারতে,O
,না,O
Sentence: 882,মায়,B-REL
,মোরে,O
,আর,O
,ভাইরে,B-REL
,বড়,O
,করছে,O
,বেমালা,O
,কষ্ট,O
,কইররা,O
Sentence: 883,মোরে,O
,আগে,O
,হগলডি,O
,আদর,O
,করতে,O
Sentence: 884,যত,O
,বড়,O
,হইলাম,O
,সবাইর,O
,চোহে,O
,এক্কালে,O
,বিষ,O
,এর,O
,নাহান,O
,হইয়া,O
,গ্যালাম,O
Sentence: 885,আগের,O
,চাইয়া,O
,আব্বায়,B-REL
,ম্যালা,O
,ভালো,O
,হইছে,O
Sentence: 886,মোর,O
,খালার,B-REL
,বিয়া,O
,হইছে,O
,দুই,O
,হাজার,O
,পনরো,O
,সনে,O
Sentence: 887,মোর,O
,খালার,B-REL
,দুজ্ঞা,O
,পোলা,B-REL
,আছে,O
Sentence: 888,বিয়ার,O
,আগে,O
,খালাই,B-REL
,মোরে,O
,বড়,O
,করছে,O
Sentence: 889,মায়,B-REL
,কিছু,O
,হইলেই,O
,মোরে,O
,পিডায়,O
Sentence: 890,মোর,O
,বাফে,B-REL
,যে,O
,এত্তো,O
,খারাপ,O
,কহনো,O
,ফুলের,O
,টোক্কাও,O
,দ্যায়,O
,নাই,O
Sentence: 891,মুই,O
,এউক্কা,O
,পোলা,O
,এহন,O
,বাংলাদেশ,B-ORG
,নেবিতে,I-ORG
,কামে,O
,আছি,O
Sentence: 892,মুই,O
,চাইর,O
,মাস,O
,আগে,O
,পরিবারের,O
,পছন্দে,O
,বিয়া,O
,করছি,O
Sentence: 893,মুই,O
,বেইন্নাহালে,O
,আট্টায়,O
,ডিউটি,O
,তে,O
,চইল্লা,O
,যাই,O
Sentence: 894,মোর,O
,বউ,B-REL
,একদিনো,O
,সময়েরকালে,O
,টেবিলে,B-OBJ
,খাওন,O
,দেতে,O
,পারেনা,O
,অনেক,O
,সময়,O
,বায়রায়,O
,যাইয়া,O
,নাস্তা,B-FOOD
,করি,O
Sentence: 895,হ্যায়,O
,বেইন্নাহালে,O
,বোলে,O
,ওঠতে,O
,পারে,O
,না,O
Sentence: 896,হ্যায়,O
,হ্যার,O
,বাফের,B-REL
,বাড়ি,O
,থাহারকালে,O
,বোলে,O
,দশ,O
,টার,O
,আগে,O
,ঘুমে,O
,গোনে,O
,ওঠতে,O
,না,O
Sentence: 897,হ্যায়,O
,বেমালা,O
,আইলশা,O
,এউক্কা,O
,কাম,O
,সময়েরকালে,O
,করতে,O
,পারে,O
,না,O
Sentence: 898,হারাদিন,O
,বাড়ি,O
,বইয়া,O
,ফেসবুক,B-ORG
,টিকটকে,B-ORG
,সময়,O
,কাড্য,O
,হ্যার,O
Sentence: 899,মোগো,O
,মইধ্যে,O
,ক্যালক্যাল,O
,কাইজ্জা,O
,বাজে,O
Sentence: 900,মুই,O
,ম্যালা,O
,সমস্যায়,O
,আছি,O
Sentence: 901,পেরতেকদিন,O
,হতাশার,O
,মইধ্যে,O
,ডুইব্বা,O
,যাইতেয়াছি,O
,এইয়ার,O
,মুক্তি,O
,পামু,O
,ক্যামনে,O
Sentence: 902,মুই,O
,সত্যই,O
,ম্যালা,O
,অসহায়,O
,বোধ,O
,করতেয়াছি,O
Sentence: 903,পোস্ট,O
,ভালো,O
,না,O
,লাগলে,O
,এড়াইয়া,O
,যান,O
Sentence: 904,এউক্কা,O
,মাইয়া,O
,ছউজ্ঞা,O
,পোলার,O
,লগে,O
,প্রেম,O
,করতেয়াছে,O
Sentence: 905,ভিডিউ,O
,বানাইন্নার,O
,কি,O
,দরকার,O
,আল্লেহ,O
Sentence: 906,মোর,O
,তো,O
,মনে,O
,কয়,O
,মাইয়াগো,O
,একছের,O
,ডেট,O
,করা,O
,উচিত,O
Sentence: 907,এইরহম,O
,করতেয়াছে,O
,কির,O
,লইজ্ঞা,O
,বইয়া,O
,বইয়া,O
Sentence: 908,হ্যায়,O
,হিশাব,O
,মিলাইতে,O
,পারতেয়াছে,O
,না,O
Sentence: 909,এইয়া,O
,ক্যামনে,O
,সম্ভব,O
Sentence: 910,তুমি,O
,ঘুমে,O
,গোনে,O
,উইটঠা,O
,মোরে,O
,ফোন,O
,কইররো,O
Sentence: 911,তুমি,O
,এত্তো,O
,ঘুমাও,O
,কির,O
,লইজ্ঞা,O
Sentence: 912,তোমার,O
,এত্তো,O
,ঘুম,O
,আয়,O
,কির,O
,লইজ্ঞা,O
Sentence: 913,তোমার,O
,লগে,O
,মোর,O
,দরকারি,O
,কথা,O
,আছে,O
Sentence: 914,এউক্কা,O
,স্বাভাবিক,O
,মানু,O
,এত্তো,O
,ঘুমায়,O
,না,O
Sentence: 915,মোর,O
,বেইন্যাহালে,O
,উইটঠাই,O
,চা,B-FOOD
,খাওনের,O
,অভ্যাস,O
Sentence: 916,মোর,O
,সন্ধায়,O
,কফি,B-FOOD
,খাওনের,O
,অভ্যাস,O
,আছে,O
Sentence: 917,তুমি,O
,দুফারে,O
,কিদ্যা,O
,ভাত,B-FOOD
,খাইছেলা,O
Sentence: 918,তুমি,O
,কি,O
,রাইতের,O
,কালে,O
,বায়রায়,O
,বাইর,O
,হবা,O
Sentence: 919,আমনের,O
,সব,O
,চাইয়া,O
,ধারের,O
,মানুডা,O
,কেডা,O
Sentence: 920,আমনের,O
,লগে,O
,কথা,O
,কইতে,O
,পাইরা,O
,ভালো,O
,লাগছে,O
,মোর,O
Sentence: 921,মোর,O
,ম্যালা,O
,খারাপ,O
,লাগছে,O
Sentence: 922,মোর,O
,মনে,O
,কয়,O
,যে,O
,মুই,O
,কিছুই,O
,মনে,O
,রাখতে,O
,পারতেয়াছি,O
,না,O
Sentence: 923,মোর,O
,ছোডো,B-ROLE
,বুইন,I-ROLE
,নানা,B-REL
,বাড়ি,O
,ঘোরতে,O
,গ্যাল্লেহ,O
Sentence: 924,হ্যায়,O
,পরের,O
,মাসে,O
,বিদ্যাশ,B-LOC
,চইল্লা,O
,যাইবে,O
Sentence: 925,মাইয়াডা,O
,বেমালা,O
,বেদ্দপ,O
Sentence: 926,মাইয়াডা,O
,হারাদিন,O
,মিছা,O
,কথা,O
,কয়,O
Sentence: 927,পোলাডা,O
,রাস্তা,B-LOC
,দিয়া,O
,হাইট্টা,O
,যাইতেয়াছে,O
Sentence: 928,এউক্কা,O
,বিলোই,B-ANI
,দুয়ারের,B-OBJ
,সামনে,O
,বইয়া,O
,রইছে,O
Sentence: 929,এউক্কা,O
,কুত্তা,B-ANI
,রাস্তায়,B-LOC
,বইয়া,O
,রইছে,O
Sentence: 930,এউক্কা,O
,সাদা,B-COL
,রঙের,I-COL
,পক্ষি,B-ANI
,আকাশে,O
,ওড়তেয়াছে,O
Sentence: 931,জুয়ান,O
,এউক্কা,O
,পোলা,O
,বায়রায়,O
,ফুটপাতে,B-LOC
,দৌড়াইতেয়াছে,O
Sentence: 932,মুই,O
,কামে,O
,যাইতে,O
,চাই,O
,না,O
Sentence: 933,আমনে,O
,এই,O
,কলমডা,B-OBJ
,নেন,O
Sentence: 934,মোরে,O
,সত্য,O
,কথা,O
,কন,O
Sentence: 935,তুমি,O
,ঘুমে,O
,গোনে,O
,হওয়ালে,O
,উইটঠা,O
,যাও,O
Sentence: 936,আমনে,O
,ঘুমে,O
,গোনে,O
,ওঠতে,O
,চান,O
,না,O
Sentence: 937,মুই,O
,বেইন্যাহালে,O
,নাস্তা,B-FOOD
,কইররা,O
,ইস্কুলে,B-ORG
,যাই,O
Sentence: 938,মোর,O
,বেইন্যাহালে,O
,কিছু,O
,খাইতে,O
,ভাল,O
,লাগে,O
,না,O
Sentence: 939,মোরা,O
,ঠইজ্ঞা,O
,গ্যাছি,O
Sentence: 940,মোরা,O
,ঠইজ্ঞা,O
,গ্যাল্লাম,O
Sentence: 941,আমডা,B-FOOD
,কেডা,O
,খাইল্লে,O
Sentence: 942,মুই,O
,হারাইয়া,O
,গেছি,O
Sentence: 943,মুই,O
,ঠিক,O
,আছি,O
Sentence: 944,মোরে,O
,বিশ্বাস,O
,করো,O
Sentence: 945,মোর,O
,প্রশ্নের,O
,উত্তর,O
,দেন,O
Sentence: 946,মুই,O
,হ্যারে,O
,দ্যাখতে,O
,পাইলাম,O
Sentence: 947,মোরে,O
,ঢোকতে,O
,দেন,O
Sentence: 948,মোরে,O
,যাইতে,O
,দেও,O
Sentence: 949,এইহানে,O
,অপেক্ষা,O
,করেন,O
Sentence: 950,মুই,O
,অসুস্থ,O
,হইয়া,O
,পরছেলাম,O
Sentence: 951,মুই,O
,অগো,O
,দ্যাখতে,O
,পাইলাম,O
Sentence: 952,সময়,O
,শ্যাষ,O
,হইয়া,O
,গ্যাছে,O
Sentence: 953,মোরা,O
,অপেক্ষা,O
,করমু,O
Sentence: 954,হ্যায়,O
,উইটঠা,O
,খারাইছে,O
Sentence: 955,মুই,O
,বেশি,O
,উচা,O
Sentence: 956,মুই,O
,মাফ,O
,চাই,O
Sentence: 957,মুই,O
,ফিররা,O
,আইলাম,O
Sentence: 958,মুই,O
,কেক,B-FOOD
,পছন্দ,O
,করি,O
Sentence: 959,এট্টুহানে,O
,ঘুমাইয়া,O
,লও,O
Sentence: 960,মুই,O
,এল্লাহ,O
,আল্লাম,O
Sentence: 961,মোর,O
,লগে,O
,আয়েন,O
Sentence: 962,হ্যায়,O
,চেইত্যা,O
,গ্যাল্লেহ,O
Sentence: 963,মোর,O
,হাতটা,O
,ধরেন,O
Sentence: 964,মুই,O
,অবাক,O
,হইয়া,O
,গ্যাল্লাহম,O
Sentence: 965,মুই,O
,আমু,O
,না,O
Sentence: 966,মুই,O
,ঠগমু,O
,না,O
Sentence: 967,মোর,O
,হাতে,O
,ব্যাথা,O
,করতেয়াছে,O
Sentence: 968,মোর,O
,ঠ্যাঙ্গে,O
,ব্যাথা,O
,করতেয়াছে,O
Sentence: 969,আমনেরে,O
,কেডা,O
,পাডাইছে,O
Sentence: 970,তোমারে,O
,দেইখ্যা,O
,অসুস্থ্য,O
,বইললা,O
,মনে,O
,হইতেয়াছে,O
Sentence: 971,আমনেরা,O
,আগে,O
,যান,O
Sentence: 972,মোরে,O
,বোলাইবেন,O
,না,O
Sentence: 973,মোর,O
,হইলদা,B-COL
,রঙ,O
,পছন্দ,O
Sentence: 974,মুই,O
,আফেল,B-FOOD
,পছন্দ,O
,করি,O
Sentence: 975,মোর,O
,ঠান্ডা,O
,লাগজে,O
Sentence: 976,মোর,O
,খিদা,O
,পাইতেয়াছে,O
Sentence: 977,মুই,O
,বিদ্যাশ,B-LOC
,গ্যাল্লাহম,O
Sentence: 978,মুই,O
,ভিতরে,O
,যাই,O
Sentence: 979,হ্যায়,O
,চেইত্যা,O
,গ্যাল্লেহ,O
Sentence: 980,মোরে,O
,ওইহানে,O
,লইয়া,O
,লয়েন,O
Sentence: 981,হ্যায়,O
,মোর,O
,বউ,B-REL
Sentence: 982,আমনেরে,O
,দেইখ্যা,O
,অসুস্থ্য,O
,বইললা,O
,মনে,O
,হইতেয়াছে,O
Sentence: 983,মোগো,O
,বিয়ার,O
,পরে,O
,গোনেই,O
,ম্যালা,O
,ছোডোখাডো,O
,কারনে,O
,কাইজ্যা,O
,লাইজ্ঞা,O
,থাকতে,O
Sentence: 984,মুই,O
,বোঝতে,O
,পারছেলাম,O
,হ্যার,O
,অন্য,O
,কোনহানে,O
,সম্পর্ক,O
,আছে,O
Sentence: 985,হ্যায়,O
,কোন,O
,কালে,O
,স্বীকার,O
,করে,O
,না,O
Sentence: 986,এমনে,O
,বিভিন্ন,O
,ধরনের,O
,সমেস্যা,O
,হইতে,O
,থাহে,O
Sentence: 987,মোগো,O
,পারিবারিক,O
,ভাবে,O
,বিয়া,O
,হয়,O
Sentence: 988,যহন,O
,বাসায়,O
,কই,O
,তহন,O
,বিভিন্ন,O
,তারহার,O
,কথা,O
,হয়,O
Sentence: 989,বেমালা,O
,বার,O
,হ্যারে,O
,সুযোগ,O
,দেওয়া,O
,হইছে,O
Sentence: 990,তয়,O
,হ্যায়,O
,ভালো,O
,হয়,O
,না,O
Sentence: 991,ম্যালা,O
,দিন,O
,বাফের,B-REL
,বাড়ি,O
,আল্লাহম,O
Sentence: 992,তোমারে,O
,থুইয়া,O
,বাচমু,O
,তোমার,O
,বিয়াতেও,O
,নাচমু,O
Sentence: 993,হ্যায়,O
,হেইকালে,O
,ফিররা,O
,ফেরত,O
,চায়,O
,মোরে,O
Sentence: 994,এক,O
,কালে,O
,এরহম,O
,অবস্থা,O
,করছেলে,O
,যে,O
,মুইও,O
,দূর্বল,O
,হইয়া,O
,যাই,O
Sentence: 995,কয়ডা,O
,দিন,O
,হ্যায়,O
,ভালো,O
,আল্লেহ,O
Sentence: 996,হেইয়ারপর,O
,এউক্কার,O
,পর,O
,এউক্কা,O
,অশান্তি,O
,বাড়তেই,O
,থাহে,O
Sentence: 997,হ্যায়,O
,যের,O
,লগে,O
,সম্পর্কে,O
,জড়াইছে,O
,হ্যারে,O
,বিয়া,O
,করবেনা,O
,কয়,O
,তয়,O
,সম্পর্ক,O
,রাখবে,O
Sentence: 998,হ্যায়,O
,খালি,O
,মোরে,O
,খাওন,B-FOOD
,ডু,O
,ঠিক,O
,মত,O
,দ্যায়,O
,যানি,O
,কাউরে,O
,কইতে,O
,না,O
,পারি,O
Sentence: 999,মোর,O
,তো,O
,এউক্কা,O
,হাত,O
,খরচ,O
,লাগে,O
,হেইয়াও,O
,হ্যায়,O
,দ্যায়,O
,না,O
Sentence: 1000,বাফ,B-REL
,হিসাবে,O
,পোলারে,B-REL
,ভালবাসে,O
,ম্যালা,O
Sentence: 1001,চুপ,O
,আল্লাহম,O
,বুঝাইছি,O
,বেমালা,O
,লাভ,O
,হয়,O
,নাই,O
Sentence: 1002,এক,O
,কালে,O
,ফিররা,O
,বাড়িতে,O
,জানাইন্না,O
,হয়,O
Sentence: 1003,হেইকালে,O
,হ্যায়,O
,ম্যালা,O
,খারাপ,O
,আচরন,O
,করছেলে,O
Sentence: 1004,হ্যায়,O
,মোর,O
,বাড়ির,O
,কাউরে,O
,সম্মান,O
,করেনা,O
Sentence: 1005,হ্যায়,O
,কেউর,O
,কথা,O
,কয়না,O
,কাউরে,O
,সম্মান,O
,করেনা,O
Sentence: 1006,এমন,O
,কি,O
,মোর,O
,বাপ,B-REL
,মায়,B-REL
,সামনে,O
,আইলে,O
,সালামডা,O
,পর্যন্ত,O
,দেয়না,O
Sentence: 1007,হ্যায়,O
,হ্যাগো,O
,লগে,O
,সম্পর্ক,O
,রাখবে,O
,না,O
Sentence: 1008,মুই,O
,তহন,O
,জিগাই,O
,কিরলইজ্ঞা,O
,কি,O
,হইছে,O
Sentence: 1009,হ্যারা,O
,মোরে,O
,বেমালা,O
,অফোমান,O
,করছে,O
Sentence: 1010,আমনেরা,O
,কন,O
,হ্যায়,O
,পরকিয়া,O
,করবে,O
,বউ,B-REL
,রে,O
,মারবে,O
,আর,O
,বাপ,B-REL
,মায়,B-REL
,চুপ,O
,থাকপে,O
Sentence: 1011,মোর,O
,কোন,O
,ভাই,B-REL
,নাই,O
,মুই,O
,বড়,B-REL
,মাইয়া,I-REL
Sentence: 1012,মোগো,O
,মইধ্যাবিত্ত,O
,পরিবার,O
Sentence: 1013,এইহগল,O
,কিছু,O
,কেউরে,O
,কইয়া,O
,কোন,O
,সমাধান,O
,নাই,O
Sentence: 1014,হ্যারা,O
,কয়,O
,মোরা,O
,মোগো,O
,বউ,B-REL
,রে,O
,কত,O
,মারি,O
,কোন,O
,কালে,O
,মুখ,O
,দিয়া,O
,কথা,O
,বাইর,O
,করে,O
,না,O
Sentence: 1015,মোর,O
,হাউরি,B-REL
,নাই,O
,মইররা,O
,গ্যাছে,O
,ম্যালা,O
,আগে,O
Sentence: 1016,মোরা,O
,বিয়ার,O
,পরে,O
,গোনে,O
,ভিন্ন,O
,থাহি,O
Sentence: 1017,হউরবাড়ি,O
,মোর,O
,জামাইর,B-REL
,কিছু,O
,নাই,O
,কারণ,O
,হ্যার,O
,মায়,B-REL
,নাই,O
Sentence: 1018,হ্যার,O
,বাফে,B-REL
,বিয়া,O
,করছে,O
,হেইহানে,O
,বছরে,O
,একবার,O
,যাওন,O
,হয়,O
Sentence: 1019,মুই,O
,তোমারে,O
,খাওন,B-FOOD
,দেতেয়াছি,O
Sentence: 1020,আমনেরা,O
,কন,O
,যে,O
,জামাই,B-REL
,ভালবাইসসা,O
,কথা,O
,কয়না,O
Sentence: 1021,এইহগল,O
,সমেস্যার,O
,সমাধান,O
,কোম্মে,O
,পামু,O
Sentence: 1022,মুই,O
,ম্যালা,O
,চেষ্টা,O
,করছি,O
,যে,O
,মোর,O
,কোন,O
,ভুল,O
,আছে,O
,কিনা,O
Sentence: 1023,হ্যায়,O
,হগলডি,O
,রে,O
,কয়,O
,মুই,O
,তো,O
,অর,O
,লগেই,O
,সংসার,O
,করি,O
Sentence: 1024,এইয়া,O
,না,O
,যে,O
,মুই,O
,দ্যাখতে,O
,অসুন্দর,O
Sentence: 1025,যে,O
,কেউ,O
,মোরে,O
,এক,O
,দেহা,O
,তে,O
,পছন্দ,O
,করবে,O
Sentence: 1026,কোন,O
,উপায়,O
,পাইনা,O
,কি,O
,করমু,O
Sentence: 1027,খালি,O
,পোলার,B-REL
,মুহের,O
,দিক,O
,চাইয়া,O
,চুপ,O
,কইররা,O
,আছি,O
Sentence: 1028,তয়,O
,মুই,O
,বাইচচা,O
,থাইক্কাও,O
,মইররা,O
,আছি,O
Sentence: 1029,মুই,O
,মোর,O
,জামাইর,B-REL
,ভালোবাসা,O
,চাই,O
Sentence: 1030,মোর,O
,পরিবারের,O
,হগলডির,O
,লগে,O
,অয়,O
,কথা,O
,কউক,O
,হেইডা,O
,চাই,O
Sentence: 1031,মোর,O
,বাপ,B-REL
,মায়,B-REL
,বেমালা,O
,বার,O
,মাফ,O
,চাইছে,O
Sentence: 1032,যেইয়া,O
,হইছে,O
,হইয়া,O
,গ্যাছে,O
,তোমার,O
,কথাই,O
,মানছি,O
,মোগো,O
,দোষ,O
Sentence: 1033,মুই,O
,চাইলেই,O
,মোর,O
,বাফের,B-REL
,বাড়ি,O
,চইললা,O
,যাইতে,O
,পারি,O
Sentence: 1034,সমাজের,O
,মানু,O
,বিভিন্ন,O
,কথা,O
,কইবে,O
Sentence: 1035,মোর,O
,বাফে,B-REL
,অসুস্থ্য,O
,হইয়া,O
,যাইবে,O
Sentence: 1036,হ্যায়,O
,এহন,O
,নিজের,O
,মোহে,O
,কয়,O
,তোমার,O
,লগে,O
,ফিররা,O
,সব,O
,ঠিক,O
,করতেয়াছি,O
Sentence: 1037,অন্য,O
,কোনহানে,O
,বিয়া,O
,কইররা,O
,ভালো,O
,থাকবা,O
,হেইয়া,O
,ক্যামনে,O
,হয়,O
Sentence: 1038,হ্যায়,O
,বায়রায়,O
,যা,O
,ইচ্ছা,O
,করবে,O
,বউ,B-REL
,হিসাবে,O
,মোরে,O
,রাখবে,O
Sentence: 1039,এইহানে,O
,মোর,O
,পরিবারের,O
,লগে,O
,সম্পর্ক,O
,রাখবে,O
,না,O
Sentence: 1040,মোরে,O
,ম্যালা,O
,মারতে,O
Sentence: 1041,পোলাডার,B-REL
,ভবিষ্যতের,O
,কথা,O
,ভাইব্বা,O
,চুপ,O
,কইররা,O
,রইছি,O
Sentence: 1042,মোর,O
,বাপ,B-REL
,মায়ও,B-REL
,এইডা,O
,ল্পইয়া,O
,ম্যালা,O
,কষ্ট,O
,পাইতেয়াছে,O
Sentence: 1043,মুই,O
,বড়,B-REL
,মাইয়া,I-REL
,মোর,O
,ছোডো,B-REL
,বুইন,I-REL
,আছে,O
,খালি,O
Sentence: 1044,আমনেরা,O
,পরামর্শ,O
,দ্যান,O
,মুই,O
,কি,O
,করমু,O
Sentence: 1045,দিন,O
,দিন,O
,মানসিক,O
,ভাবে,O
,অসুস্থ্য,O
,হইয়া,O
,যাইতেয়াছি,O
Sentence: 1046,কোন,O
,কথা,O
,খারাপ,O
,লাগলে,O
,দয়া,O
,কইররা,O
,মাফ,O
,কইরেন,O
Sentence: 1047,মুই,O
,প্রেম,O
,কইররা,O
,বিয়া,O
,করছি,O
Sentence: 1048,মুই,O
,মোর,O
,জামাইরে,B-REL
,বেমালা,O
,ভালোবাসি,O
Sentence: 1049,মোর,O
,বয়স,O
,উনিশ,O
,বছর,O
Sentence: 1050,এউক্কা,O
,মানু,O
,কি,O
,এমনে,O
,এমনে,O
,খারাপ,O
,হয়,O
,কন,O
Sentence: 1051,এরহম,O
,কিছু,O
,করমু,O
,যাতে,O
,হ্যার,O
,ধারে,O
,মোরে,O
,না,O
,যাইতে,O
,হয়,O
Sentence: 1052,মুই,O
,ক্যার,O
,ধারে,O
,চামু,O
Sentence: 1053,আমনে,O
,থানায়,B-LOC
,যাইয়া,O
,এউক্কা,O
,মামলা,O
,করেন,O
Sentence: 1054,পুলিশরে,B-ROLE
,হগলকিছু,O
,পরথোম,O
,গোনে,O
,শ্যাষ,O
,পর্যন্ত,O
,খুইললা,O
,কন,O
,আমনের,O
,লগে,O
,যেইয়া,O
,যেইয়া,O
,হইছে,O
Sentence: 1055,পুলিশরে,B-ROLE
,এইডাও,O
,কন,O
,যে,O
,মুই,O
,যদি,O
,মোর,O
,সমেস্যার,O
,কোন,O
,সমাধান,O
,পাইনাই,O
Sentence: 1056,মুই,O
,কোলো,O
,আত্মহত্যা,O
,করতে,O
,বাইধ্য,O
,হমু,O
Sentence: 1057,এইতে,O
,পুলিশের,B-ROLE
,উপরে,O
,চাপ,O
,আইবে,O
Sentence: 1058,আমনের,O
,মায়,B-REL
,আর,O
,আমনের,O
,জামাই,B-REL
,দুইজনি,O
,সতর্ক,O
,হইবে,O
,আমনের,O
,জইন্য,O
Sentence: 1059,আমনে,O
,যদি,O
,পুলিশরে,B-ROLE
,পুরাডা,O
,খুইললা,O
,কয়ন,O
,হেইলেই,O
,দ্যাখবেন,O
,সমেস্যার,O
,সমাধান,O
,হইয়া,O
,গ্যাছে,O
Sentence: 1060,আমনে,O
,এউক্কা,O
,সাহাইয্য,O
,পাইতেয়াছেন,O
,পুলিশের,B-ROLE
,ধারে,O
,গোনে,O
Sentence: 1061,মুই,O
,কমু,O
,আমনে,O
,বিয়া,O
,ভাঙ্গার,O
,রাস্তা,O
,বাইচছা,O
,লন,O
Sentence: 1062,নিজের,O
,নাহান,O
,কইররা,O
,বাচেন,O
Sentence: 1063,দুজ্ঞা,O
,ব্যালা,O
,ডাইল,B-FOOD
,ভাত,I-FOOD
,খাইয়া,O
,নিজের,O
,নাহান,O
,একলা,O
,থাহা,O
,ম্যালা,O
,ভালো,O
Sentence: 1064,যাই,O
,হোক,O
,মায়ের,B-REL
,ধারে,O
,ম্যালা,O
,কিছু,O
,পাওনের,O
,থাকলেও,O
,আমনে,O
,তেমন,O
,কিছু,O
,পান,O
,নাই,O
Sentence: 1065,অন্যদিক,O
,আমনের,O
,জামাইও,B-REL
,মানু,O
,হিসাবে,O
,ভাল,O
,না,O
Sentence: 1066,আমনের,O
,দুই,O
,দিকই,O
,জ্বালা,O
,হইছে,O
Sentence: 1067,কিছু,O
,কিছু,O
,বিষয়ে,O
,কোন,O
,সমাধান,O
,থাহে,O
,না,O
Sentence: 1068,অবশ্যই,O
,আমনে,O
,পেরতেকদিন,O
,নামাজ,O
,পইররা,O
,আল্লাহর,O
,ধারে,O
,শান্তি,O
,দোয়া,O
,করতে,O
,পারেন,O
Sentence: 1069,নিজেরে,O
,যোগ্য,O
,কইররা,O
